sr,source_ip,destination_ip,protocol,packet_length,packet_info,source_mac,destination_mac,source_vendor,destination_vendor,asset_type
57,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3b01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=4 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
58,192.168.100.13,224.0.0.251,17,103,<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=89 id=47845 flags=DF frag=0 ttl=255 proto=udp chksum=0xbafc src=192.168.100.13 dst=224.0.0.251 |<UDP  sport=5353 dport=5353 len=69 chksum=0xcaa2 |<DNS  id=17 qr=0 opcode=QUERY aa=0 tc=0 rd=0 ra=0 z=0 ad=0 cd=0 rcode=ok qdcount=2 ancount=0 nscount=0 arcount=0 qd=<DNSQR  qname='_CA5E8412._sub._googlecast._tcp.local.' qtype=PTR qclass=IN |<DNSQR  qname='_googlecast._tcp.local.' qtype=PTR qclass=IN |>> an=None ns=None ar=None |>>>>,5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
59,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23947 flags= frag=0 ttl=1 proto=2 chksum=0xc27d src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xfa\\x8c\x00\x00\x00\x01\x03\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
60,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3c01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=3 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
61,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23948 flags= frag=0 ttl=1 proto=2 chksum=0xc27c src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xf9\\x8c\x00\x00\x00\x01\x04\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
62,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3b01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=4 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
63,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23949 flags= frag=0 ttl=1 proto=2 chksum=0xc27b src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xf9\\x8c\x00\x00\x00\x01\x04\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
64,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3b01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=4 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
65,192.168.100.13,239.255.255.250,17,167,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=153 id=62848 flags=DF frag=0 ttl=1 proto=udp chksum=0x6f23 src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=36061 dport=ssdp len=133 chksum=0xdea9 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
66,192.168.100.13,239.255.255.250,17,164,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=150 id=62849 flags=DF frag=0 ttl=1 proto=udp chksum=0x6f25 src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=42513 dport=ssdp len=130 chksum=0x5808 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:mdx-netflix-com:service:target:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
67,192.168.100.19,20.198.119.84,6,98,"<Ether  dst=04:b0:e7:65:21:ef src=b4:6b:fc:c7:e5:6b type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=84 id=15339 flags=DF frag=0 ttl=128 proto=tcp chksum=0xde3 src=192.168.100.19 dst=20.198.119.84 |<TCP  sport=51727 dport=https seq=2914063974 ack=358297125 dataofs=5 reserved=0 flags=PA window=257 chksum=0x67d8 urgptr=0 |<Raw  load=""\x17\x03\x03\x00'\x00\x00\x00\x00\x00\x00\x00d-F\x1dzL\u05fc'\\xb5\\xc0N\x164\\x8aJ\\xfe=\x04O\\xaf\\x91\\xb6\\xb7\u03a2<[\\x91[\\xf7\\x84"" |>>>>",b4:6b:fc:c7:e5:6b,04:b0:e7:65:21:ef,Intel Corporate,"HUAWEI TECHNOLOGIES CO.,LTD",Unknown Protocol
68,20.198.119.84,192.168.100.19,6,229,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=215 id=20243 flags= frag=0 ttl=111 proto=tcp chksum=0x4b38 src=20.198.119.84 dst=192.168.100.19 |<TCP  sport=https dport=51727 seq=358297125 ack=2914064018 dataofs=5 reserved=0 flags=PA window=7889 chksum=0x717 urgptr=0 |<Raw  load='\x17\x03\x03\x00\\xaa\x00\x00\x00\x00\x00\x00\x00et\\xc0YN\\xb7C%\\xe4wI\\x9e\\xc2ƕ2\\xed\\xf1\\x9c\\xdap<\\xe0\\xb98\\xef\\xf4\x12\x11g_\\xce\x002""\\xd2ǩ\x0cL\\x94$\U00031857|\\xb5<\\xd465\\x8bk`\\xf9\\x86֧\\x88""\\x8e\x08\\xb8\\xf3\\xb6\x08\\x90\\xa9%\x0f\\x8d\x19gOp\\xf9\\xc6\\xf6\\x97\\x9c\\xc5p\\xae[w\\x9d\r\r\\x9cS\\xb2\\xa0ĿTt\\xf7\\x96E\U000c342a\\x9f$\\x85\\x9e\\xfd\\xfbu\x1e\\xa2\\xe7\\xf1\x19Ǯ\\xb5>\\x83\\xf6m\\xd6\x02\x15\\xb3Hع\x01\\\\x8b<\\xc4\x08\\xc1NX\\xe9\\xfen\\xe6\\x9f\\xdbɫR\\x80\\x83\\x8b\\xe7\x1b\\x9e\\x88Ti\\xb5B(^\\xf9\x16' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
69,192.168.100.19,20.198.119.84,6,54,<Ether  dst=04:b0:e7:65:21:ef src=b4:6b:fc:c7:e5:6b type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=40 id=15340 flags=DF frag=0 ttl=128 proto=tcp chksum=0xe0e src=192.168.100.19 dst=20.198.119.84 |<TCP  sport=51727 dport=https seq=2914064018 ack=358297300 dataofs=5 reserved=0 flags=A window=256 chksum=0x29c1 urgptr=0 |>>>,b4:6b:fc:c7:e5:6b,04:b0:e7:65:21:ef,Intel Corporate,"HUAWEI TECHNOLOGIES CO.,LTD",Unknown Protocol
70,192.168.100.13,239.255.255.250,17,164,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=150 id=63308 flags=DF frag=0 ttl=1 proto=udp chksum=0x6d5a src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=52999 dport=ssdp len=130 chksum=0x2f12 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:mdx-netflix-com:service:target:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
71,192.168.100.13,239.255.255.250,17,167,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=153 id=63749 flags=DF frag=0 ttl=1 proto=udp chksum=0x6b9e src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=42150 dport=ssdp len=133 chksum=0xc6e0 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
72,192.168.100.8,239.255.255.250,17,217,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=203 id=54764 flags= frag=0 ttl=1 proto=udp chksum=0xce8a src=192.168.100.8 dst=239.255.255.250 |<UDP  sport=56327 dport=ssdp len=183 chksum=0x81bc |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Microsoft Edge/124.0.2478.67 Windows\r\n\r\n' |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
73,192.168.100.8,239.255.255.250,17,216,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=202 id=54765 flags= frag=0 ttl=1 proto=udp chksum=0xce8a src=192.168.100.8 dst=239.255.255.250 |<UDP  sport=56328 dport=ssdp len=182 chksum=0x1af |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Google Chrome/124.0.6367.92 Windows\r\n\r\n' |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
74,192.168.100.8,239.255.255.250,17,217,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=203 id=54766 flags= frag=0 ttl=1 proto=udp chksum=0xce88 src=192.168.100.8 dst=239.255.255.250 |<UDP  sport=56327 dport=ssdp len=183 chksum=0x81bc |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Microsoft Edge/124.0.2478.67 Windows\r\n\r\n' |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
75,192.168.100.8,239.255.255.250,17,216,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=202 id=54767 flags= frag=0 ttl=1 proto=udp chksum=0xce88 src=192.168.100.8 dst=239.255.255.250 |<UDP  sport=56328 dport=ssdp len=182 chksum=0x1af |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Google Chrome/124.0.6367.92 Windows\r\n\r\n' |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
76,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23950 flags= frag=0 ttl=1 proto=2 chksum=0xc27a src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xfa\\x8c\x00\x00\x00\x01\x03\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
77,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3c01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=3 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
78,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23951 flags= frag=0 ttl=1 proto=2 chksum=0xc279 src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xf9\\x8c\x00\x00\x00\x01\x04\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
79,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3b01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=4 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
80,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23952 flags= frag=0 ttl=1 proto=2 chksum=0xc278 src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xfa\\x8c\x00\x00\x00\x01\x03\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
81,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3c01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=3 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
82,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23953 flags= frag=0 ttl=1 proto=2 chksum=0xc277 src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xf9\\x8c\x00\x00\x00\x01\x04\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
83,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3b01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=4 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
84,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23954 flags= frag=0 ttl=1 proto=2 chksum=0xc276 src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xf9\\x8c\x00\x00\x00\x01\x04\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
85,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3b01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=4 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
86,192.168.100.8,239.255.255.250,17,217,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=203 id=54769 flags= frag=0 ttl=1 proto=udp chksum=0xce85 src=192.168.100.8 dst=239.255.255.250 |<UDP  sport=56327 dport=ssdp len=183 chksum=0x81bc |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Microsoft Edge/124.0.2478.67 Windows\r\n\r\n' |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
87,192.168.100.8,239.255.255.250,17,216,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=202 id=54768 flags= frag=0 ttl=1 proto=udp chksum=0xce87 src=192.168.100.8 dst=239.255.255.250 |<UDP  sport=56328 dport=ssdp len=182 chksum=0x1af |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Google Chrome/124.0.6367.92 Windows\r\n\r\n' |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
88,192.168.100.18,192.168.100.255,17,92,<Ether  dst=ff:ff:ff:ff:ff:ff src=c4:d9:87:04:a2:c7 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=78 id=7265 flags= frag=0 ttl=128 proto=udp chksum=0xd3db src=192.168.100.18 dst=192.168.100.255 |<UDP  sport=netbios_ns dport=netbios_ns len=58 chksum=0xa95f |<NBNSHeader  NAME_TRN_ID=46132 RESPONSE=0 OPCODE=0 NM_FLAGS=B+RD RCODE=0 QDCOUNT=1 ANCOUNT=0 NSCOUNT=0 ARCOUNT=0 |<NBNSQueryRequest  QUESTION_NAME='AWAIS          ' SUFFIX=domain controller NULL=0 QUESTION_TYPE=NB QUESTION_CLASS=INTERNET |>>>>>,c4:d9:87:04:a2:c7,ff:ff:ff:ff:ff:ff,Intel Corporate,Vendor Not Found,Unknown Protocol
89,192.168.100.18,192.168.100.255,17,92,<Ether  dst=ff:ff:ff:ff:ff:ff src=c4:d9:87:04:a2:c7 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=78 id=7266 flags= frag=0 ttl=128 proto=udp chksum=0xd3da src=192.168.100.18 dst=192.168.100.255 |<UDP  sport=netbios_ns dport=netbios_ns len=58 chksum=0xa95f |<NBNSHeader  NAME_TRN_ID=46132 RESPONSE=0 OPCODE=0 NM_FLAGS=B+RD RCODE=0 QDCOUNT=1 ANCOUNT=0 NSCOUNT=0 ARCOUNT=0 |<NBNSQueryRequest  QUESTION_NAME='AWAIS          ' SUFFIX=domain controller NULL=0 QUESTION_TYPE=NB QUESTION_CLASS=INTERNET |>>>>>,c4:d9:87:04:a2:c7,ff:ff:ff:ff:ff:ff,Intel Corporate,Vendor Not Found,Unknown Protocol
90,192.168.100.8,239.255.255.250,17,216,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=202 id=54770 flags= frag=0 ttl=1 proto=udp chksum=0xce85 src=192.168.100.8 dst=239.255.255.250 |<UDP  sport=56328 dport=ssdp len=182 chksum=0x1af |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Google Chrome/124.0.6367.92 Windows\r\n\r\n' |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
