sr,source_ip,destination_ip,protocol,packet_length,packet_info,source_mac,destination_mac,source_vendor,destination_vendor,asset_type
11,,,,188,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=134 nh=UDP hlim=1 src=fe80::1 dst=ff05::c |<UDP  sport=58991 dport=ssdp len=134 chksum=0xd418 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: [FF05::C]:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:schemas-upnp-org:device:ManageableDevice:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
12,,,,188,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=134 nh=UDP hlim=1 src=fe80::1 dst=ff02::c |<UDP  sport=58991 dport=ssdp len=134 chksum=0xd41e |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: [FF02::C]:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:schemas-upnp-org:device:ManageableDevice:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
13,,,,188,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=134 nh=UDP hlim=1 src=fe80::1 dst=ff02::c |<UDP  sport=58991 dport=ssdp len=134 chksum=0xd41e |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: [FF02::C]:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:schemas-upnp-org:device:ManageableDevice:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
14,192.168.100.1,239.255.255.250,17,174,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=160 id=62397 flags=DF frag=0 ttl=4 proto=udp chksum=0x6deb src=192.168.100.1 dst=239.255.255.250 |<UDP  sport=33642 dport=ssdp len=140 chksum=0xb6d2 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:schemas-upnp-org:device:ManageableDevice:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
15,192.168.100.1,239.255.255.250,17,174,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=160 id=62411 flags=DF frag=0 ttl=4 proto=udp chksum=0x6ddd src=192.168.100.1 dst=239.255.255.250 |<UDP  sport=33642 dport=ssdp len=140 chksum=0xb6d2 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:schemas-upnp-org:device:ManageableDevice:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
16,,,,189,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=135 nh=UDP hlim=1 src=fe80::1 dst=ff05::c |<UDP  sport=58991 dport=ssdp len=135 chksum=0x8c79 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: [FF05::C]:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:www-huawei-com:service:NetworkSyncService:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
17,,,,189,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=135 nh=UDP hlim=1 src=fe80::1 dst=ff05::c |<UDP  sport=58991 dport=ssdp len=135 chksum=0x8c79 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: [FF05::C]:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:www-huawei-com:service:NetworkSyncService:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
18,,,,189,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=135 nh=UDP hlim=1 src=fe80::1 dst=ff02::c |<UDP  sport=58991 dport=ssdp len=135 chksum=0x8c7f |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: [FF02::C]:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:www-huawei-com:service:NetworkSyncService:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
19,,,,189,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=135 nh=UDP hlim=1 src=fe80::1 dst=ff02::c |<UDP  sport=58991 dport=ssdp len=135 chksum=0x8c7f |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: [FF02::C]:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:www-huawei-com:service:NetworkSyncService:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
20,192.168.100.19,20.198.119.84,6,98,"<Ether  dst=04:b0:e7:65:21:ef src=b4:6b:fc:c7:e5:6b type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=84 id=15337 flags=DF frag=0 ttl=128 proto=tcp chksum=0xde5 src=192.168.100.19 dst=20.198.119.84 |<TCP  sport=51727 dport=https seq=2914063930 ack=358296950 dataofs=5 reserved=0 flags=PA window=258 chksum=0x748d urgptr=0 |<Raw  load=""\x17\x03\x03\x00'\x00\x00\x00\x00\x00\x00\x00cFT\u0601$\\xfd\\xa1e\\xfa%\\x97J\\xcb\x03\\x89:\x0b<iP^`2ˌ\n\\xbc\\xb5\\x8d\\xb2\t"" |>>>>",b4:6b:fc:c7:e5:6b,04:b0:e7:65:21:ef,Intel Corporate,"HUAWEI TECHNOLOGIES CO.,LTD",Unknown Protocol
